Mã sinh viên, Họ và tên, Số điện thoại, Email, Giới tính, 1245baa1-d089-4463-8271-9d7d0a5219cc, Đã xóa
SV01, Ha Anh, 012345678, xuannhat@gmail.com, Nam, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV02, Minh Quan, 098765432, minhquan@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV03, Thuy Linh, 012345678, thuylinh@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV04, Huy Hoang, 098765432, huyhoang@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV05, My Hanh, 012345678, myhanh@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV06, Van Thanh, 098765432, vanthanh@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV07, Quynh Nga, 012345678, quynhnga@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV08, Anh Tuan, 098765432, anhtuan@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV09, Thu Trang, 012345678, thutrang@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV10, Quang Huy, 098765432, quanghuy@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV11, Bich Phuong, 012345678, bichphuong@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV12, Duy Khoi, 098765432, duykhoi@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV13, Ngoc Trinh, 012345678, ngoctrinh@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV14, Viet Anh, 098765432, vietanh@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV15, Kim Ngan, 012345678, kimngan@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV16, Tien Dat, 098765432, tiendat@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV17, Thuy Hang, 012345678, thuyhang@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV18, Hai Yen, 098765432, haiyen@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV19, Phuc Minh, 012345678, phucminh@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV20, Huy Hoai, 098765432, huyhoai@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV21, Mai Anh, 012345678, maianh@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV22, Trung Hieu, 098765432, trunghieu@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV23, Lan Anh, 012345678, lananh@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV24, Van Hoang, 098765432, vanhoang@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV25, My Phuong, 012345678, myphuong@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV26, Quoc Thinh, 098765432, quoctinh@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV27, Tuyet Mai, 012345678, tuyetmai@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV28, Van Tam, 098765432, vantam@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV29, Ngoc Ha, 012345678, ngocha@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV30, Tien Dung, 098765432, tiendung@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV31, My Linh, 012345678, mylinh@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV32, Van Quyen, 098765432, vanquyen@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV33, Phuong Nga, 012345678, phuongnga@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV34, Duc Tung, 098765432, ductung@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV35, My Dung, 012345678, mydung@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV36, Trong Thang, 098765432, trongthang@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV37, Thuy Trang, 012345678, thuytrang@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV38, Quang Huy, 098765432, quanghuy@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV39, Bich Phuong, 012345678, bichphuong@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV40, Duy Khoi, 098765432, duykhoi@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV41, Ngoc Trinh, 012345678, ngoctrinh@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV42, Viet Anh, 098765432, vietanh@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV43, Kim Ngan, 012345678, kimngan@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV44, Tien Dat, 098765432, tiendat@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV45, Thuy Hang, 012345678, thuyhang@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV46, Hai Yen, 098765432, haiyen@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
SV47, Phuc Minh, 012345678, phucminh@gmail.com, Nữ, a10a198d-d9a6-417b-859a-a77d6d9f05b3, False
SV48, Huy Hoai, 098765432, huyhoai@gmail.com, Nam, 303a25d9-0daf-4034-9d25-aaef18af12dc, False
SV49, Mai Anh, 012345678, maianh@gmail.com, Nữ, f0763f54-0313-4cb0-9fd3-62ead4184293, False
SV50, Trung Hieu, 098765432, trunghieu@gmail.com, Nam, 1245baa1-d089-4463-8271-9d7d0a5219cc, False
